Set(Tea Powder)->5383
Set(Lassi)->5431
Set(Yougurt)->5502
Set(Coffee Powder)->5508
Set(Panner)->5444
Set(Butter)->5480
Set(Sugar)->5482
Set(Sweet)->5483
Set(Bread)->5484
Set(Ghee)->5509
Set(Milk)->5526
Set(Cheese)->5475
Set(Sweet, Panner)->2505
Set(Milk, Panner)->2483
Set(Tea Powder, Coffee Powder)->2451
Set(Butter, Panner)->2483
Set(Sweet, Milk)->2512
Set(Coffee Powder, Bread)->2528
Set(Sweet, Ghee)->2504
Set(Sweet, Yougurt)->2478
Set(Butter, Milk)->2491
Set(Ghee, Panner)->2523
Set(Sweet, Bread)->2539
Set(Butter, Lassi)->2500
Set(Coffee Powder, Milk)->2518
Set(Lassi, Cheese)->2483
Set(Yougurt, Coffee Powder)->2554
Set(Tea Powder, Bread)->2445
Set(Sugar, Milk)->2563
Set(Sweet, Tea Powder)->2503
Set(Lassi, Coffee Powder)->2511
Set(Sugar, Coffee Powder)->2503
Set(Sweet, Cheese)->2498
Set(Sugar, Ghee)->2516
Set(Sweet, Lassi)->2576
Set(Sugar, Lassi)->2503
Set(Butter, Ghee)->2529
Set(Yougurt, Cheese)->2531
Set(Tea Powder, Cheese)->2391
Set(Tea Powder, Ghee)->2418
Set(Yougurt, Milk)->2513
Set(Coffee Powder, Cheese)->2516
Set(Butter, Yougurt)->2528
Set(Butter, Cheese)->2484
Set(Sugar, Tea Powder)->2473
Set(Tea Powder, Panner)->2409
Set(Cheese, Bread)->2530
Set(Tea Powder, Milk)->2444
Set(Lassi, Panner)->2497
Set(Butter, Coffee Powder)->2501
Set(Cheese, Panner)->2497
Set(Tea Powder, Lassi)->2439
Set(Ghee, Coffee Powder)->2577
Set(Tea Powder, Yougurt)->2486
Set(Lassi, Bread)->2506
Set(Butter, Sweet)->2543
Set(Ghee, Cheese)->2471
Set(Sugar, Bread)->2479
Set(Yougurt, Panner)->2498
Set(Ghee, Milk)->2511
Set(Yougurt, Bread)->2507
Set(Coffee Powder, Panner)->2482
Set(Bread, Milk)->2517
Set(Lassi, Milk)->2539
Set(Sugar, Panner)->2505
Set(Ghee, Bread)->2503
Set(Sugar, Yougurt)->2529
Set(Butter, Tea Powder)->2417
Set(Cheese, Milk)->2468
Set(Butter, Bread)->2467
Set(Bread, Panner)->2550
Set(Ghee, Yougurt)->2476
Set(Yougurt, Lassi)->2465
Set(Sugar, Sweet)->2495
Set(Sugar, Cheese)->2460
Set(Sweet, Coffee Powder)->2496
Set(Ghee, Lassi)->2510
Set(Sugar, Butter)->2571
Set(Butter, Sweet, Coffee Powder)->1174
Set(Sugar, Lassi, Cheese)->1145
Set(Sugar, Butter, Milk)->1237
Set(Coffee Powder, Cheese, Panner)->1171
Set(Cheese, Bread, Panner)->1224
Set(Sugar, Butter, Lassi)->1203
Set(Sugar, Yougurt, Lassi)->1188
Set(Cheese, Milk, Panner)->1165
Set(Yougurt, Coffee Powder, Panner)->1191
Set(Butter, Ghee, Lassi)->1205
Set(Ghee, Cheese, Panner)->1168
Set(Lassi, Bread, Panner)->1213
Set(Butter, Yougurt, Cheese)->1182
Set(Tea Powder, Bread, Milk)->1148
Set(Sweet, Cheese, Bread)->1190
Set(Tea Powder, Ghee, Coffee Powder)->1169
Set(Butter, Cheese, Bread)->1164
Set(Sugar, Ghee, Yougurt)->1179
Set(Sugar, Butter, Ghee)->1226
Set(Lassi, Bread, Milk)->1195
Set(Butter, Sweet, Lassi)->1247
Set(Yougurt, Cheese, Bread)->1203
Set(Butter, Coffee Powder, Milk)->1159
Set(Cheese, Bread, Milk)->1183
Set(Ghee, Bread, Panner)->1221
Set(Sweet, Yougurt, Panner)->1174
Set(Sweet, Tea Powder, Coffee Powder)->1166
Set(Sweet, Tea Powder, Ghee)->1149
Set(Sweet, Lassi, Cheese)->1219
Set(Sugar, Sweet, Coffee Powder)->1174
Set(Sugar, Yougurt, Bread)->1166
Set(Sweet, Cheese, Panner)->1192
Set(Butter, Yougurt, Lassi)->1173
Set(Sugar, Tea Powder, Panner)->1153
Set(Sweet, Tea Powder, Panner)->1168
Set(Butter, Yougurt, Panner)->1203
Set(Sugar, Coffee Powder, Panner)->1183
Set(Yougurt, Coffee Powder, Bread)->1201
Set(Ghee, Lassi, Bread)->1207
Set(Sugar, Butter, Cheese)->1174
Set(Yougurt, Bread, Panner)->1188
Set(Sweet, Lassi, Panner)->1265
Set(Yougurt, Lassi, Milk)->1180
Set(Yougurt, Lassi, Bread)->1149
Set(Yougurt, Lassi, Coffee Powder)->1178
Set(Sugar, Yougurt, Coffee Powder)->1207
Set(Ghee, Lassi, Milk)->1203
Set(Butter, Lassi, Panner)->1186
Set(Sugar, Sweet, Tea Powder)->1190
Set(Ghee, Yougurt, Cheese)->1183
Set(Tea Powder, Yougurt, Milk)->1148
Set(Sugar, Ghee, Coffee Powder)->1189
Set(Butter, Ghee, Panner)->1217
Set(Tea Powder, Coffee Powder, Cheese)->1104
Set(Butter, Ghee, Cheese)->1133
Set(Tea Powder, Coffee Powder, Panner)->1111
Set(Butter, Milk, Panner)->1139
Set(Sugar, Tea Powder, Lassi)->1180
Set(Butter, Ghee, Milk)->1176
Set(Butter, Cheese, Milk)->1140
Set(Tea Powder, Lassi, Panner)->1172
Set(Coffee Powder, Bread, Milk)->1191
Set(Tea Powder, Yougurt, Cheese)->1160
Set(Tea Powder, Ghee, Bread)->1138
Set(Lassi, Coffee Powder, Bread)->1200
Set(Butter, Sweet, Milk)->1197
Set(Tea Powder, Lassi, Bread)->1153
Set(Sweet, Yougurt, Cheese)->1191
Set(Ghee, Cheese, Bread)->1180
Set(Yougurt, Cheese, Milk)->1183
Set(Ghee, Yougurt, Milk)->1163
Set(Sugar, Yougurt, Cheese)->1176
Set(Sugar, Lassi, Panner)->1209
Set(Sugar, Sweet, Ghee)->1173
Set(Sweet, Ghee, Coffee Powder)->1178
Set(Lassi, Cheese, Milk)->1173
