(HashSet(Sugar, Butter, Ghee, Yougurt, Milk, Coffee Powder, Cheese, Bread),(30,0.0023952096))
(HashSet(Sugar, Sweet, Tea Powder, Lassi, Coffee Powder, Bread, Milk, Panner),(30,0.0023952096))
(HashSet(Sugar, Butter, Tea Powder, Ghee, Milk, Lassi, Coffee Powder, Bread),(30,0.0023952096))
(HashSet(Sugar, Ghee, Yougurt, Lassi, Coffee Powder, Cheese, Milk, Panner),(30,0.0023952096))
(HashSet(Sugar, Butter, Ghee, Yougurt, Milk, Lassi, Cheese, Bread),(30,0.0023952096))
(HashSet(Sugar, Butter, Ghee, Yougurt, Milk, Lassi, Coffee Powder, Cheese),(30,0.0023952096))
(HashSet(Sugar, Ghee, Lassi, Coffee Powder, Cheese, Bread, Milk, Panner),(30,0.0023952096))
(HashSet(Butter, Tea Powder, Ghee, Yougurt, Coffee Powder, Cheese, Milk, Panner),(30,0.0023952096))
(HashSet(Sugar, Butter, Tea Powder, Ghee, Yougurt, Milk, Coffee Powder, Bread),(30,0.0023952096))
(HashSet(Sugar, Butter, Ghee, Panner, Lassi, Coffee Powder, Cheese, Bread),(30,0.0023952096))
(HashSet(Sugar, Butter, Yougurt, Lassi, Coffee Powder, Bread, Milk, Panner),(30,0.0023952096))
(HashSet(Sugar, Sweet, Tea Powder, Ghee, Panner, Lassi, Coffee Powder, Bread),(30,0.0023952096))
(HashSet(Sugar, Ghee, Yougurt, Coffee Powder, Cheese, Bread, Milk, Panner),(30,0.0023952096))
(HashSet(Sugar, Butter, Sweet, Ghee, Coffee Powder, Cheese, Bread),(31,0.0024750498))
(HashSet(Butter, Ghee, Lassi, Coffee Powder, Cheese, Bread, Milk, Panner),(31,0.0024750498))
(HashSet(Sugar, Butter, Ghee, Yougurt, Coffee Powder, Cheese, Milk, Panner),(31,0.0024750498))
(HashSet(Sugar, Butter, Sweet, Ghee, Lassi, Coffee Powder, Cheese),(31,0.0024750498))
(HashSet(Butter, Ghee, Yougurt, Lassi, Coffee Powder, Cheese, Milk, Panner),(31,0.0024750498))
(HashSet(Sugar, Butter, Lassi, Coffee Powder, Cheese, Bread, Milk, Panner),(32,0.0025548902))
(HashSet(Sugar, Tea Powder, Ghee, Lassi, Coffee Powder, Bread, Milk, Panner),(32,0.0025548902))
(HashSet(Sugar, Butter, Tea Powder, Ghee, Yougurt, Panner, Coffee Powder, Bread),(32,0.0025548902))
(HashSet(Sugar, Butter, Ghee, Yougurt, Milk, Lassi, Coffee Powder, Bread),(32,0.0025548902))
(HashSet(Sugar, Butter, Ghee, Yougurt, Lassi, Coffee Powder, Milk, Panner),(32,0.0025548902))
(HashSet(Sugar, Butter, Ghee, Milk, Lassi, Coffee Powder, Cheese, Bread),(33,0.0026347304))
(HashSet(Sugar, Ghee, Yougurt, Lassi, Coffee Powder, Bread, Milk, Panner),(33,0.0026347304))
(HashSet(Sugar, Ghee, Yougurt, Milk, Lassi, Coffee Powder, Cheese, Bread),(34,0.0027145708))
(HashSet(Butter, Sweet, Ghee, Yougurt, Lassi, Cheese, Bread),(34,0.0027145708))
(HashSet(Sugar, Butter, Ghee, Lassi, Coffee Powder, Bread, Milk, Panner),(35,0.0027944113))
(HashSet(Sweet, Tea Powder, Milk, Lassi, Coffee Powder, Cheese, Bread),(35,0.0027944113))
(HashSet(Sugar, Butter, Sweet, Ghee, Yougurt, Cheese, Bread),(35,0.0027944113))
(HashSet(Butter, Sweet, Tea Powder, Milk, Coffee Powder, Cheese, Bread),(35,0.0027944113))
(HashSet(Butter, Sweet, Tea Powder, Ghee, Lassi, Coffee Powder, Cheese),(35,0.0027944113))
(HashSet(Butter, Sweet, Ghee, Panner, Lassi, Cheese, Bread),(35,0.0027944113))
(HashSet(Sugar, Butter, Sweet, Tea Powder, Ghee, Coffee Powder, Cheese),(35,0.0027944113))
(HashSet(Butter, Sweet, Ghee, Lassi, Coffee Powder, Cheese, Bread),(36,0.0028742515))
(HashSet(Sugar, Butter, Sweet, Ghee, Panner, Coffee Powder, Cheese),(36,0.0028742515))
(HashSet(Butter, Sweet, Tea Powder, Milk, Lassi, Cheese, Bread),(36,0.0028742515))
(HashSet(Sugar, Sweet, Tea Powder, Ghee, Yougurt, Milk, Panner),(36,0.0028742515))
