(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner, Yougurt),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet),31)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Sugar, Sweet),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Panner, Sugar, Yougurt),31)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Milk, Sugar, Yougurt),32)
(List(Butter, Coffee Powder, Ghee, Lassi, Milk, Panner, Sugar, Yougurt),32)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Milk, Panner, Sugar),32)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Panner, Sugar, Tea Powder),32)
(List(Bread, Butter, Coffee Powder, Ghee, Panner, Sugar, Tea Powder, Yougurt),32)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Panner, Sugar, Yougurt),33)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Sugar),33)
(List(Bread, Butter, Cheese, Ghee, Lassi, Sweet, Yougurt),34)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Milk, Sugar, Yougurt),34)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Milk, Panner, Sugar),35)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Sweet, Tea Powder),35)
(List(Bread, Butter, Cheese, Ghee, Lassi, Panner, Sweet),35)
(List(Bread, Butter, Cheese, Ghee, Sugar, Sweet, Yougurt),35)
(List(Butter, Cheese, Coffee Powder, Ghee, Sugar, Sweet, Tea Powder),35)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sweet, Tea Powder),35)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Sweet, Tea Powder),35)
(List(Butter, Cheese, Coffee Powder, Ghee, Panner, Sugar, Sweet),36)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Sweet),36)
(List(Bread, Butter, Cheese, Lassi, Milk, Sweet, Tea Powder),36)
(List(Bread, Butter, Cheese, Ghee, Panner, Sweet, Tea Powder),36)
(List(Ghee, Milk, Panner, Sugar, Sweet, Tea Powder, Yougurt),36)
(List(Butter, Cheese, Ghee, Panner, Sugar, Sweet, Tea Powder),37)
(List(Bread, Cheese, Coffee Powder, Ghee, Sweet, Tea Powder, Yougurt),37)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Panner, Sweet),37)
(List(Bread, Butter, Cheese, Ghee, Lassi, Sweet, Tea Powder),37)
(List(Bread, Butter, Ghee, Milk, Sweet, Tea Powder, Yougurt),37)
(List(Bread, Butter, Cheese, Ghee, Sweet, Tea Powder, Yougurt),37)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Sugar, Tea Powder),38)
(List(Bread, Butter, Cheese, Ghee, Lassi, Sugar, Sweet),38)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Sweet, Tea Powder),38)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Sweet, Yougurt),38)
(List(Butter, Cheese, Ghee, Lassi, Sweet, Tea Powder, Yougurt),38)
(List(Bread, Butter, Cheese, Ghee, Lassi, Panner, Yougurt),38)
(List(Butter, Cheese, Coffee Powder, Milk, Panner, Sweet, Tea Powder),38)
(List(Bread, Butter, Cheese, Ghee, Sugar, Sweet, Tea Powder),38)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Sweet, Tea Powder),39)
(List(Bread, Butter, Cheese, Ghee, Panner, Sugar, Sweet),39)
(List(Bread, Butter, Milk, Panner, Sugar, Sweet, Tea Powder),39)
(List(Butter, Cheese, Lassi, Panner, Sugar, Tea Powder, Yougurt),39)
(List(Bread, Butter, Cheese, Lassi, Sweet, Tea Powder, Yougurt),39)
(List(Bread, Cheese, Coffee Powder, Ghee, Sugar, Sweet, Tea Powder),39)
(List(Coffee Powder, Ghee, Milk, Panner, Sweet, Tea Powder, Yougurt),39)
(List(Bread, Butter, Coffee Powder, Milk, Panner, Sweet, Tea Powder),39)
(List(Bread, Butter, Cheese, Milk, Sweet, Tea Powder, Yougurt),39)
(List(Butter, Cheese, Ghee, Lassi, Sugar, Sweet, Tea Powder),39)
(List(Bread, Cheese, Coffee Powder, Milk, Panner, Sweet, Tea Powder),39)
(List(Bread, Butter, Cheese, Milk, Sugar, Sweet, Tea Powder),39)
(List(Bread, Cheese, Coffee Powder, Lassi, Sugar, Sweet, Tea Powder),39)
(List(Butter, Cheese, Ghee, Lassi, Milk, Tea Powder, Yougurt),39)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Sweet, Tea Powder),39)
(List(Bread, Butter, Cheese, Milk, Panner, Sweet, Tea Powder),40)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Sugar, Sweet),40)
(List(Bread, Butter, Cheese, Ghee, Lassi, Tea Powder, Yougurt),40)
(List(Bread, Cheese, Ghee, Milk, Panner, Tea Powder, Yougurt),40)
(List(Bread, Cheese, Lassi, Milk, Sugar, Sweet, Tea Powder),40)
(List(Bread, Cheese, Coffee Powder, Sugar, Sweet, Tea Powder, Yougurt),40)
(List(Cheese, Ghee, Milk, Panner, Sugar, Sweet, Tea Powder),40)
(List(Bread, Butter, Coffee Powder, Ghee, Sweet, Tea Powder, Yougurt),40)
(List(Butter, Ghee, Panner, Sugar, Sweet, Tea Powder, Yougurt),40)
(List(Bread, Cheese, Ghee, Milk, Sugar, Sweet, Tea Powder),40)
(List(Bread, Butter, Coffee Powder, Ghee, Panner, Sweet, Tea Powder),40)
(List(Cheese, Coffee Powder, Ghee, Lassi, Panner, Sugar, Sweet),40)
(List(Bread, Butter, Cheese, Coffee Powder, Panner, Sweet, Tea Powder),40)
(List(Bread, Butter, Cheese, Coffee Powder, Sweet, Tea Powder, Yougurt),40)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Panner, Sweet),40)
(List(Cheese, Coffee Powder, Ghee, Panner, Sugar, Sweet, Tea Powder),40)
(List(Bread, Butter, Coffee Powder, Ghee, Milk, Panner, Sweet),40)
(List(Butter, Cheese, Lassi, Milk, Sugar, Tea Powder, Yougurt),41)
(List(Cheese, Coffee Powder, Ghee, Milk, Panner, Sugar, Sweet),41)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Sweet),41)
(List(Ghee, Lassi, Panner, Sugar, Sweet, Tea Powder, Yougurt),41)
(List(Cheese, Coffee Powder, Ghee, Milk, Sugar, Sweet, Tea Powder),41)
(List(Bread, Coffee Powder, Ghee, Panner, Sweet, Tea Powder, Yougurt),41)
(List(Butter, Cheese, Ghee, Sugar, Sweet, Tea Powder, Yougurt),41)
(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Milk, Sweet),41)
(List(Butter, Ghee, Milk, Panner, Sweet, Tea Powder, Yougurt),41)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Sweet, Tea Powder),41)
(List(Bread, Butter, Cheese, Coffee Powder, Sugar, Sweet, Yougurt),41)
(List(Butter, Milk, Panner, Sugar, Sweet, Tea Powder, Yougurt),41)
(List(Cheese, Ghee, Lassi, Milk, Panner, Tea Powder, Yougurt),41)
(List(Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet, Tea Powder),41)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Sugar, Sweet),41)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Sweet, Tea Powder),41)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sugar, Tea Powder),41)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Sweet, Yougurt),41)
(List(Butter, Cheese, Lassi, Milk, Sweet, Tea Powder, Yougurt),42)
(List(Bread, Butter, Lassi, Milk, Panner, Sugar, Tea Powder),42)
(List(Bread, Butter, Lassi, Panner, Sugar, Tea Powder, Yougurt),42)
(List(Bread, Butter, Ghee, Lassi, Milk, Tea Powder, Yougurt),42)
(List(Butter, Cheese, Milk, Panner, Sweet, Tea Powder, Yougurt),42)
(List(Bread, Cheese, Coffee Powder, Lassi, Sweet, Tea Powder, Yougurt),42)
(List(Cheese, Ghee, Milk, Panner, Sugar, Tea Powder, Yougurt),42)
(List(Bread, Butter, Cheese, Lassi, Milk, Tea Powder, Yougurt),42)
(List(Bread, Butter, Cheese, Lassi, Milk, Sweet, Yougurt),42)
(List(Bread, Butter, Ghee, Sugar, Sweet, Tea Powder, Yougurt),42)
(List(Bread, Butter, Cheese, Coffee Powder, Sugar, Sweet, Tea Powder),42)
(List(Butter, Cheese, Ghee, Lassi, Milk, Sugar, Sweet),42)
(List(Bread, Butter, Cheese, Lassi, Panner, Tea Powder, Yougurt),42)
(List(Bread, Butter, Cheese, Ghee, Milk, Sweet, Tea Powder),42)
(List(Bread, Butter, Cheese, Lassi, Milk, Sugar, Tea Powder),42)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Tea Powder, Yougurt),42)
(List(Butter, Ghee, Lassi, Sugar, Sweet, Tea Powder, Yougurt),42)
(List(Bread, Ghee, Milk, Panner, Sweet, Tea Powder, Yougurt),42)
(List(Coffee Powder, Ghee, Lassi, Sugar, Sweet, Tea Powder, Yougurt),42)
(List(Bread, Butter, Cheese, Ghee, Panner, Sweet, Yougurt),42)
(List(Bread, Butter, Cheese, Lassi, Sugar, Tea Powder, Yougurt),42)
(List(Bread, Butter, Ghee, Lassi, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Cheese, Ghee, Milk, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Sugar, Tea Powder),43)
(List(Butter, Cheese, Coffee Powder, Ghee, Panner, Sweet, Tea Powder),43)
(List(Bread, Cheese, Ghee, Panner, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Butter, Cheese, Milk, Panner, Sugar, Tea Powder),43)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Sweet, Yougurt),43)
(List(Butter, Cheese, Ghee, Lassi, Milk, Sweet, Yougurt),43)
(List(Bread, Butter, Cheese, Coffee Powder, Panner, Sugar, Sweet),43)
(List(Cheese, Coffee Powder, Ghee, Sugar, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Cheese, Coffee Powder, Milk, Sugar, Sweet, Tea Powder),43)
(List(Butter, Cheese, Ghee, Milk, Panner, Sweet, Tea Powder),43)
(List(Bread, Cheese, Ghee, Lassi, Milk, Tea Powder, Yougurt),43)
(List(Cheese, Ghee, Milk, Panner, Sweet, Tea Powder, Yougurt),43)
(List(Butter, Cheese, Coffee Powder, Lassi, Sugar, Tea Powder, Yougurt),43)
(List(Butter, Cheese, Ghee, Lassi, Milk, Sweet, Tea Powder),43)
(List(Cheese, Coffee Powder, Ghee, Milk, Panner, Sweet, Tea Powder),43)
(List(Butter, Coffee Powder, Ghee, Milk, Panner, Sugar, Sweet),43)
(List(Cheese, Coffee Powder, Lassi, Milk, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Butter, Milk, Panner, Sweet, Tea Powder, Yougurt),43)
(List(Cheese, Ghee, Panner, Sugar, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Butter, Ghee, Panner, Sweet, Tea Powder, Yougurt),43)
(List(Butter, Cheese, Ghee, Milk, Sugar, Sweet, Yougurt),43)
(List(Coffee Powder, Ghee, Milk, Panner, Sugar, Sweet, Yougurt),43)
(List(Bread, Butter, Cheese, Sugar, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Sugar, Sweet),43)
(List(Bread, Butter, Cheese, Lassi, Milk, Panner, Tea Powder),43)
(List(Bread, Butter, Lassi, Milk, Sugar, Tea Powder, Yougurt),43)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Panner, Tea Powder),43)
(List(Bread, Cheese, Lassi, Sugar, Sweet, Tea Powder, Yougurt),43)
(List(Coffee Powder, Ghee, Panner, Sugar, Sweet, Tea Powder, Yougurt),43)
(List(Bread, Butter, Cheese, Panner, Sugar, Sweet, Tea Powder),43)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Panner, Tea Powder),43)
(List(Bread, Butter, Ghee, Lassi, Panner, Sweet, Yougurt),43)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet),43)
(List(Bread, Butter, Cheese, Lassi, Sugar, Sweet, Tea Powder),44)
(List(Butter, Cheese, Ghee, Milk, Panner, Sugar, Sweet),44)
(List(Cheese, Ghee, Lassi, Panner, Sugar, Sweet, Tea Powder),44)
(List(Bread, Butter, Cheese, Ghee, Milk, Panner, Sweet),44)
(List(Bread, Butter, Cheese, Milk, Panner, Sugar, Sweet),44)
(List(Bread, Cheese, Ghee, Milk, Panner, Sweet, Tea Powder),44)
(List(Cheese, Ghee, Lassi, Milk, Sugar, Sweet, Tea Powder),44)
(List(Bread, Butter, Cheese, Milk, Sugar, Sweet, Yougurt),44)
(List(Butter, Cheese, Milk, Panner, Sugar, Tea Powder, Yougurt),44)
(List(Butter, Cheese, Lassi, Milk, Panner, Sugar, Tea Powder),44)
(List(Butter, Coffee Powder, Ghee, Lassi, Sweet, Tea Powder, Yougurt),44)
(List(Bread, Cheese, Coffee Powder, Lassi, Sugar, Tea Powder, Yougurt),44)
(List(Cheese, Ghee, Lassi, Sugar, Sweet, Tea Powder, Yougurt),44)
(List(Bread, Lassi, Milk, Panner, Sugar, Tea Powder, Yougurt),44)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Sugar, Tea Powder),44)
(List(Bread, Cheese, Lassi, Milk, Panner, Sugar, Tea Powder),44)
(List(Butter, Cheese, Ghee, Milk, Sugar, Sweet, Tea Powder),44)
(List(Bread, Cheese, Ghee, Lassi, Milk, Panner, Tea Powder),44)
(List(Cheese, Coffee Powder, Ghee, Milk, Sweet, Tea Powder, Yougurt),45)
(List(Cheese, Coffee Powder, Ghee, Lassi, Sweet, Tea Powder, Yougurt),45)
(List(Butter, Cheese, Ghee, Milk, Sweet, Tea Powder, Yougurt),45)
(List(Bread, Butter, Ghee, Lassi, Milk, Panner, Yougurt),45)
(List(Bread, Coffee Powder, Lassi, Sugar, Sweet, Tea Powder, Yougurt),45)
(List(Butter, Cheese, Ghee, Milk, Panner, Sugar, Tea Powder),45)
(List(Cheese, Coffee Powder, Ghee, Panner, Sugar, Tea Powder, Yougurt),45)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sweet, Yougurt),45)
(List(Bread, Cheese, Coffee Powder, Panner, Sugar, Sweet, Tea Powder),45)
(List(Bread, Butter, Lassi, Milk, Sweet, Tea Powder, Yougurt),45)
(List(Cheese, Coffee Powder, Milk, Panner, Sweet, Tea Powder, Yougurt),45)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Panner, Sweet),45)
(List(Bread, Butter, Cheese, Ghee, Milk, Sweet, Yougurt),45)
(List(Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet, Yougurt),45)
(List(Butter, Ghee, Milk, Panner, Sugar, Sweet, Tea Powder),45)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Milk, Tea Powder),45)
(List(Cheese, Coffee Powder, Lassi, Milk, Panner, Sweet, Tea Powder),45)
(List(Butter, Cheese, Coffee Powder, Lassi, Sweet, Tea Powder, Yougurt),45)
(List(Cheese, Ghee, Lassi, Milk, Sweet, Tea Powder, Yougurt),45)
(List(Bread, Butter, Coffee Powder, Milk, Panner, Sugar, Sweet),45)
(List(Bread, Butter, Cheese, Ghee, Milk, Sugar, Sweet),45)
